Borough,2019,2020,2021,2022
Barking and Dagenham,5.9,9.4,4.0,4.3
Barnet,5.5,5.4,7.5,6.4
Bexley,4.7,5.7,6.0,2.5
Brent,6.2,4.0,8.0,9.8
Bromley,1.9,3.1,6.3,2.7
Camden,5.6,4.7,3.6,5.5
City of London,,,,
Croydon,3.5,6.1,5.7,3.0
Ealing,4.5,6.1,6.7,5.8
Enfield,7.3,6.0,5.0,6.7
Greenwich,4.6,6.3,8.6,3.6
Hackney,4.4,4.4,6.3,9.9
Hammersmith and Fulham,3.7,6.5,5.2,2.8
Haringey,2.7,5.3,4.5,3.1
Harrow,5.1,8.0,6.0,5.2
Havering,5.0,4.2,5.3,1.5
Hillingdon,4.8,9.3,6.7,6.1
Hounslow,3.7,5.1,4.5,4.0
Islington,4.2,4.9,4.3,3.7
Kensington and Chelsea,5.4,5.5,4.0,2.7
Kingston upon Thames,2.9,4.8,3.0,1.9
Lambeth,5.9,8.4,4.4,3.8
Lewisham,4.8,4.8,4.6,2.6
Merton,4.5,6.1,4.6,
Newham,4.9,6.9,4.3,5.3
Redbridge,3.8,2.0,8.4,5.1
Richmond upon Thames,1.0,2.0,5.5,3.7
Southwark,4.1,7.5,5.9,4.9
Sutton,5.8,5.8,5.2,4.8
Tower Hamlets,4.0,6.0,5.3,4.9
Waltham Forest,6.5,11.3,6.1,6.5
Wandsworth,4.4,3.4,5.8,2.1
Westminster,4.8,12.2,6.1,3.2
