Code,Area name,Population per hectare
E09000001,City of London,28.1
E09000002,Barking and Dagenham,61.3
E09000003,Barnet,47.4
E09000004,Bexley,42.4
E09000005,Brent,80.1
E09000006,Bromley,22.6
E09000007,Camden,119.0
E09000008,Croydon,46.6
E09000009,Ealing,66.6
E09000010,Enfield,42.9
E09000011,Greenwich,62.3
E09000012,Hackney,153.3
E09000013,Hammersmith and Fulham,119.5
E09000014,Haringey,98.4
E09000015,Harrow,52.2
E09000016,Havering,23.7
E09000017,Hillingdon,27.6
E09000018,Hounslow,51.3
E09000019,Islington,164.5
E09000020,Kensington and Chelsea,133.2
E09000021,Kingston upon Thames,49.6
E09000022,Lambeth,127.7
E09000023,Lewisham,91.2
E09000024,Merton,57.1
E09000025,Newham,101.4
E09000026,Redbridge,56.1
E09000027,Richmond upon Thames,35.4
E09000028,Southwark,115.3
E09000029,Sutton,48.7
E09000030,Tower Hamlets,167.6
E09000031,Waltham Forest,75.4
E09000032,Wandsworth,98.6
E09000033,Westminster,122.1
